de 4848
le 3206
et 3199
la 2984
à 2726
que 1963
il 1740
un 1552
vous 1408
les 1356
en 1282
qui 1279
je 1241
ce 986
une 958
son 933
pas 929
ne 925
dans 917
du 891
se 819
dit 784
pour 783
dantès 777
lui 752
des 732
mais 716
sur 693
au 683
avait 600
quil 575
comme 574
sa 565
cette 561
plus 559
était 553
avec 553
tout 534
bien 467
si 462
par 454
me 415
a 406
est 405
mon 404
ses 398
nous 393
cest 386
homme 363
on 348
monsieur 333
ces 322
deux 303
donc 274
morrel 274
fait 265
ou 262
oui 262
villefort 258
dun 253
sans 246
votre 244
moi 241
cela 236
où 228
faire 225
même 223
jeune 221
caderousse 219
ma 216
edmond 214
dune 209
labbé 202
m 201
alors 201
encore 196
père 195
y 191
the 188
aux 184
non 181
elle 177
jai 176
été 173
puis 168
fois 167
peu 166
eh 165
rien 165
danglars 165
fernand 161
cet 160
après 157
temps 157
car 156
yeux 153
cétait 153
dont 148
tous 146
suis 145
ditil 140
point 139
jour 138
mercédès 138
fit 137
dire 137
demanda 135
main 135
quon 134
répondit 132
dieu 130
trois 130
tête 130
être 127
fut 123
of 122
mort 122
avoir 121
ainsi 121
chose 120
quelque 120
tu 119
leur 119
près 118
sous 118
porte 118
reprit 116
quelle 114
roi 113
toute 113
eût 112
moment 112
aussi 112
moins 111
oh 110
lîle 109
toujours 108
sil 108
lon 106
vers 106
faria 105
autre 104
quand 103
ils 103
maintenant 103
instant 100
seul 99
or 98
depuis 98
mer 98
toutes 96
quelques 95
lettre 94
chez 93
peutêtre 93
là 92
déjà 92
êtes 91
navait 91
avez 90
cœur 89
nest 89
celui 89
project 89
pendant 88
voix 88
seulement 88
gutenberg 88
capitaine 87
jamais 87
ny 86
grand 86
pauvre 86
voilà 86
bon 86
ah 85
pouvait 85
sécria 84
voir 84
cependant 83
sont 83
prisonnier 82
to 82
heures 82
fille 82
marseille 82
mille 82
continua 82
ans 82
devant 81
sétait 80
terre 80
maison 79
mes 79
presque 79
hommes 79
chambre 79
entre 78
ni 78
bâtiment 78
étaient 78
monde 77
coup 77
enfin 77
jours 77
nom 76
nuit 76
vit 76
faut 76
mois 75
vieillard 75
you 74
ami 74
vu 73
franz 73
comment 73
bruit 72
lit 72
sais 72
fils 72
vie 71
geôlier 71
fort 70
luimême 70
trop 69
regard 68
lautre 67
gouverneur 67
sire 67
doute 67
prison 67
première 66
and 66
venait 65
petit 65
quatre 63
soit 63
pharaon 63
pu 62
malheur 62
place 62
autres 62
mains 61
heure 61
linspecteur 61
patron 61
in 60
avaient 60
francs 60
peine 60
